name,ring,quadrant,isNew,description
Elasticache,Adopt,Data/Content,FALSE,"Elasticache"
Microsoft Sharepoint,Hold,Data/Content,FALSE,"Microsoft Sharepoint"
TID-C,Evaluate,IAM,FALSE,"TID-C"
Memcached,Adopt,Data/Content,FALSE,"Memcached"
Redis,Adopt,Data/Content,FALSE,"Redis"
AWS Cloudfront,Adopt,Data/Content,FALSE,"AWS Cloudfront"
Custom Developed CMS,Sunset,Data/Content,FALSE,"Custom Developed CMS"
Drupal,Adopt,Data/Content,FALSE,"Drupal"
SiteCore,Adopt,Data/Content,FALSE,"SiteCore"
Umbraco,Adopt,Data/Content,FALSE,"Umbraco"
Wordpress,Adopt,Data/Content,FALSE,"Wordpress"
DynamoDB,Adopt,Data/Content,FALSE,"DynamoDB"
IndexDB,Adopt,Data/Content,FALSE,"IndexDB"
MariaDB,Adopt,Data/Content,FALSE,"MariaDB"
Microsoft SQL Server,Adopt,Data/Content,FALSE,"Microsoft SQL Server"
Mongo DB,Adopt,Data/Content,FALSE,"Mongo DB"
MySQL,Adopt,Data/Content,FALSE,"MySQL"
Oracle,Hold,Data/Content,FALSE,"Oracle"
PostgreSQL,Adopt,Data/Content,FALSE,"PostgreSQL"
SQLite,Adopt,Data/Content,FALSE,"SQLite"
.NET,Adopt,Development/Frameworks,FALSE,".NET 6 is the latest LTS and should be considered for new development"
.NET Core,Sunset,Development/Frameworks,FALSE,".NET Core 3.5 is slated for EOS on 12/31/22"
.NET Framework,Hold,Development/Frameworks,FALSE,".NET Framework 4.8 is the latest release and will continue to be supported while running on a supporting version of Windows (Windows 11). Framework will be replaced by .NET"
Groovy on Grails,Adopt,Development/Frameworks,FALSE,"Groovy on Grails"
Java 8,Adopt,Development/Frameworks,FALSE,"Java 8 is supported till 2030"
Java 7,Sunset,Development/Frameworks,FALSE,"Java 7 is supported till July 2022"
Java MVC Struts,Adopt,Development/Frameworks,FALSE,"Java MVC Struts"
Laravel,Evaluate,Development/Frameworks,FALSE,"Laravel PHP Framework"
Perl,Hold,Development/Frameworks,FALSE,"Perl"
PHP,Hold,Development/Frameworks,FALSE,"PHP"
Python,Adopt,Development/Frameworks,FALSE,"Python"
Ruby on Rails,Hold,Development/Frameworks,FALSE,"Ruby on Rails"
Spring Boot,Adopt,Development/Frameworks,FALSE,"Spring Boot"
CAS,Hold,IAM,FALSE,"CAS"
Devise,Hold,IAM,FALSE,"Devise"
ForgeRock,Hold,IAM,FALSE,"ForgeRock"
HI - Lala,Hold,IAM,FALSE,"HI - Lala"
Microsoft AD,Hold,IAM,FALSE,"Microsoft AD"
Mini Orange SSO,Hold,IAM,FALSE,"Mini Orange SSO"
MSP,Hold,IAM,FALSE,"MSP"
NIC CDB,Sunset,IAM,FALSE,"NIC CDB"
NIC ID,Hold,IAM,FALSE,"NIC ID"
Okta,Adopt,IAM,FALSE,"Okta"
Open LDAP,Hold,IAM,FALSE,"Open LDAP"
Redhat IPA,Hold,IAM,FALSE,"Redhat IPA"
Secure ID,Hold,IAM,FALSE,"Secure ID"
Spring Security,Hold,IAM,FALSE,"Spring Security"
TID-W,Evaluate,IAM,FALSE,"TID-W"
Apache,Adopt,Tools/Techniques,FALSE,"Apache"
Cerberus FTP,Hold,Tools/Techniques,FALSE,"Cerberus FTP"
Google Analytics 4,Evaluate,Tools/Techniques,FALSE,"Google Analytics 4"
Google Universal Analytics,Hold,Tools/Techniques,FALSE,"Google Universal Analytics is approaching end of life. Google Analytics 4 should be considered as alternative when looking at implementing this functionality"
Phusion Passenger,Hold,Tools/Techniques,FALSE,"Phusion Passenger"
AWS SNS,Adopt,Tools/Techniques,FALSE,"AWS SNS"
AWS SQS,Adopt,Tools/Techniques,FALSE,"AWS SQS"
MuleSoft,Adopt,Tools/Techniques,FALSE,"MuleSoft"
Bootstrap,Adopt,Development/Frameworks,FALSE,"Bootstrap"
Cordova,Adopt,Development/Frameworks,FALSE,"Cordova"
Flutter,Adopt,Development/Frameworks,FALSE,"Flutter"
Ionic,Adopt,Development/Frameworks,FALSE,"Ionic"
Native Mobile,Adopt,Development/Frameworks,FALSE,"Native Mobile"
React Native,Adopt,Development/Frameworks,FALSE,"React Native"
Xamarin,Hold,Development/Frameworks,FALSE,"Xamarin"
Cronitor,Adopt,Tools/Techniques,FALSE,"Cronitor"
New Relic,Adopt,Tools/Techniques,FALSE,"New Relic"
UptimeRobot,Adopt,Tools/Techniques,FALSE,"UptimeRobot"
Android,Adopt,Tools/Techniques,FALSE,"Android"
AWS Linux,Adopt,Tools/Techniques,FALSE,"AWS Linux"
CentOS,Hold,Tools/Techniques,FALSE,"CentOS"
iOS,Adopt,Tools/Techniques,FALSE,"iOS"
Microsoft Windows,Adopt,Tools/Techniques,FALSE,"Microsoft Windows"
Oracle Linux,Sunset,Tools/Techniques,FALSE,"Oracle Linux"
RHEL,Sunset,Tools/Techniques,FALSE,"RHEL"
Rocky Linux,Evaluate,Tools/Techniques,FALSE,"Rocky Linux"
Ubuntu,Hold,Tools/Techniques,FALSE,"Ubuntu"
Angular,Adopt,Development/Frameworks,FALSE,"Angular"
Bootstrap,Adopt,Development/Frameworks,FALSE,"Bootstrap"
Java Script,Adopt,Development/Frameworks,FALSE,"Java Script"
JQuery,Adopt,Development/Frameworks,FALSE,"JQuery"
JSF,Adopt,Development/Frameworks,FALSE,"JSF"
Knockout,Adopt,Development/Frameworks,FALSE,"Knockout"
NodeJS,Adopt,Development/Frameworks,FALSE,"NodeJS"
React,Adopt,Development/Frameworks,FALSE,"React"
